,feature,weight,abs_weight
0,snv_ms_SBS12,0.3615360718149635,0.3615360718149635
1,snv_ms_driver_ALB_Intron,0.33666858742897376,0.33666858742897376
2,snv_ms_driver_APOB_Intron,0.25194827412043996,0.25194827412043996
3,snv_ms_driver_ACVR2A_Intron,0.23295895970951191,0.23295895970951191
4,snv_ms_driver_ARID1B_Intron,0.23294337493623624,0.23294337493623624
5,snv_ms_DNP,0.23251074439315375,0.23251074439315375
6,snv_ms_driver_HNF4A_Intron,0.21970389780193417,0.21970389780193417
7,snv_ms_driver_RTN4_Intron,0.21872017599974714,0.21872017599974714
8,snv_ms_driver_DYRK1A_Intron,0.2038314524989903,0.2038314524989903
9,snv_ms_driver_MACF1_Intron,0.20121107203836297,0.20121107203836297
