,feature,weight,abs_weight
0,cna_total_len_Mb,0.6813469847441586,0.6813469847441586
1,sv_t2tINV,0.6585677624394791,0.6585677624394791
2,snv_ms_driver_MAD1L1_Intron,0.6350089878805021,0.6350089878805021
3,snv_ms_driver_SPOP_Coding,0.5777254987839497,0.5777254987839497
4,snv_chr_Y,0.559498534435773,0.559498534435773
5,snv_ms_driver_SCAI_Intron,0.5134274838960025,0.5134274838960025
6,snv_ms_driver_ZFHX3_Intron,0.48614262344089043,0.48614262344089043
7,snv_ms_SBS1,0.44934916931648555,0.44934916931648555
8,sv_TRA,0.42101370251867465,0.42101370251867465
9,cna_loss_Mb,-0.40902466362136003,0.40902466362136003
