,feature,weight,abs_weight
0,snv_ms_driver_CBFB_Intron,0.3368811095521303,0.3368811095521303
1,snv_ms_driver_RUNX1_Intron,0.3319197663810534,0.3319197663810534
2,snv_ms_driver_ESR1_Intron,0.29399855222411275,0.29399855222411275
3,snv_ms_driver_BRIP1_Intron,0.2921886714121989,0.2921886714121989
4,snv_ms_driver_GATA3_Coding,0.2865230742880093,0.2865230742880093
5,snv_ms_driver_NCOR1_Intron,0.2848285920457746,0.2848285920457746
6,snv_ms_driver_MAP3K1_Intron,0.278003679864115,0.278003679864115
7,cna_total_len_Mb,-0.24050178893840485,0.24050178893840485
8,snv_ms_driver_HERC2_Intron,0.2401149562071557,0.2401149562071557
9,sv_TRA,0.23972034645554174,0.23972034645554174
